LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Luke Weaver,596133,R,FF,2022,62,4.06,93.9,-1.8,5.7,5.8,-9.1,29.0,-17.2,-8.9,15.0,17.5,-17.0,2351,1.4,0.8,55.3,52.0
AAA,Luke Weaver,596133,R,FF,2023,67,1.9,92.9,-1.5,5.7,6.0,-7.5,29.2,-14.6,-7.7,17.8,19.2,-14.7,2369,1.2,0.5,53.1,56.5
AAA,Luke Westphal,661332,L,FF,2022,592,-0.01,93.0,-0.6,6.2,6.3,-3.5,26.4,-15.8,-3.4,16.1,16.5,-15.4,1991,1.9,0.5,47.2,41.4
AAA,Luke Westphal,661332,L,FF,2024,275,-0.86,92.7,-0.5,6.2,6.2,-4.0,26.0,-16.9,-4.0,15.0,15.6,-16.6,1915,1.8,0.6,46.6,39.2
AAA,Lyon Richardson,680689,R,FF,2023,127,-4.21,96.6,-2.4,5.6,5.7,-9.5,30.4,-16.1,-8.9,15.1,17.7,-15.1,2316,3.5,2.7,73.4,60.0
AAA,Lyon Richardson,680689,R,FF,2024,508,-0.61,95.1,-2.6,5.7,5.8,-9.8,29.7,-17.1,-9.4,14.6,17.5,-16.4,2290,2.6,2.0,63.2,56.0
AAA,Lyon Richardson,680689,R,SI,2024,301,0.75,93.3,-2.7,5.6,5.6,-16.1,28.6,-25.6,-16.2,6.6,17.6,-25.6,2136,-2.6,-4.5,38.9,39.0
AAA,MacKenzie Gore,669022,L,FF,2022,38,5.13,95.2,-1.7,6.8,6.0,-9.1,29.0,-14.0,-8.4,16.6,18.5,-13.0,2226,0.3,0.1,46.6,54.4
AAA,Mack Lemieux,663856,L,FF,2022,139,-0.5,90.3,-2.5,6.7,5.9,-7.0,25.6,-17.5,-7.2,15.0,17.1,-17.9,2076,1.8,1.0,45.1,39.9
AAA,Manuel Rodríguez,655889,R,FF,2023,196,-4.51,96.2,-1.2,6.3,5.8,-5.6,29.4,-15.6,-5.0,15.3,16.3,-14.3,2332,3.2,1.4,60.4,50.6
