LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Nick Mikolajchak,679777,R,FF,2024,179,-0.92,92.6,-1.4,6.4,6.1,-5.6,28.8,-14.9,-5.5,17.2,18.1,-14.8,2115,1.5,0.5,47.9,45.2
AAA,Nick Nastrini,680897,R,FF,2023,174,3.48,93.6,-2.2,6.4,5.9,-4.9,29.1,-13.6,-4.8,18.1,18.9,-13.0,2251,2.0,0.6,55.7,54.8
AAA,Nick Nastrini,680897,R,FF,2024,733,-2.02,93.3,-2.2,6.4,6.0,-3.9,28.8,-13.8,-3.7,17.9,18.4,-13.5,2354,2.7,0.7,58.3,53.1
AAA,Nick Neidert,663734,R,FF,2022,38,-3.84,92.3,-2.7,6.7,5.5,-13.1,29.3,-20.0,-12.9,12.0,18.0,-19.9,2179,0.6,0.6,45.5,45.9
AAA,Nick Neidert,663734,R,FF,2023,944,-0.81,90.8,-2.6,6.4,5.9,-11.2,27.4,-18.3,-11.6,14.3,18.5,-18.9,2189,1.1,0.9,45.3,45.4
AAA,Nick Nelson,656793,R,FF,2023,470,-0.19,93.3,-2.6,6.2,6.1,-6.2,28.1,-16.8,-6.0,15.0,16.3,-16.4,1893,1.8,0.9,54.9,49.9
AAA,Nick Nelson,656793,R,FF,2024,351,-1.8,94.4,-2.4,6.2,5.8,-5.5,29.2,-16.2,-5.3,15.4,16.3,-15.5,1902,2.6,1.1,56.0,54.3
AAA,Nick Nelson,656793,R,SI,2023,451,0.12,92.9,-2.7,6.2,6.0,-13.6,28.3,-21.0,-13.4,11.0,17.6,-20.9,1900,-4.5,-3.9,41.3,45.4
AAA,Nick Nelson,656793,R,SI,2024,134,4.48,94.0,-2.5,6.2,5.7,-14.4,29.8,-19.6,-13.9,12.0,18.5,-19.0,1927,-5.1,-4.2,44.2,48.4
AAA,Nick Payero,809579,R,FF,2024,75,-0.81,88.9,-0.5,5.8,6.3,-8.4,27.7,-15.5,-9.0,18.4,20.5,-17.1,2102,1.5,0.9,37.6,43.1
AAA,Nick Ramirez,598286,L,SI,2022,291,1.1,89.2,-2.8,5.6,6.0,-14.6,25.4,-26.1,-16.0,6.6,17.2,-28.4,1994,-2.8,-4.6,38.0,36.0
