LVL,NAME,ID,HAND,TYPE,YEAR,P,RV/100,VELO,XR,EXT,ZR,AX,AY,AZ,HM,VM,TM,VD,RATE,SSH,SSV,sWHF,oWHF
AAA,Randy Wynne,691094,R,CU,2024,200,0.59,73.9,-2.1,6.1,5.8,5.0,18.4,-38.5,7.9,-10.1,12.8,-60.8,2335,-1.7,-1.7,44.5,57.7
AAA,Randy Wynne,691094,R,FC,2023,40,-4.12,85.7,-2.5,6.3,5.3,-0.8,22.8,-23.7,-1.0,9.6,10.4,-27.0,2215,4.8,1.9,55.8,53.5
AAA,Randy Wynne,691094,R,FC,2024,390,-0.67,85.1,-2.3,6.1,5.6,1.2,22.8,-25.0,1.4,8.5,8.8,-29.4,2197,4.8,0.5,50.6,52.8
AAA,Randy Wynne,691094,R,SL,2023,239,-5.82,78.7,-2.2,6.2,5.5,6.4,19.7,-31.7,8.8,0.6,9.1,-43.7,2456,0.3,3.8,46.5,56.0
AAA,Randy Wynne,691094,R,SL,2024,172,-1.79,78.8,-2.1,6.1,5.7,5.9,19.6,-32.5,8.1,-0.5,8.4,-44.4,2476,0.6,2.7,46.1,56.2
AAA,Ray Gaither,668877,R,CU,2024,184,-4.19,78.8,-0.0,6.4,5.9,4.8,21.8,-41.2,6.6,-12.5,14.6,-56.7,2101,1.8,0.8,51.7,30.6
AAA,Ray Gaither,668877,R,FC,2024,534,2.31,89.3,-0.1,6.4,5.8,4.3,24.6,-28.6,4.6,3.7,6.5,-30.2,2176,2.3,-1.4,46.0,40.1
AAA,Ray Gaither,668877,R,SL,2024,64,3.48,82.6,-0.1,6.4,5.7,8.5,22.6,-32.1,10.4,0.1,11.0,-39.5,2348,1.6,6.2,48.6,40.4
AAA,Ray Kerr,678061,L,CU,2022,266,3.17,81.6,-2.0,6.0,5.6,-0.0,21.2,-33.9,-0.0,-2.2,2.9,-43.5,1810,-1.1,0.0,42.7,33.0
AAA,Ray Kerr,678061,L,CU,2023,209,2.22,82.4,-2.5,6.0,5.5,-0.3,21.3,-34.2,-0.4,-2.5,2.8,-43.2,1920,-1.4,-0.0,40.2,33.3
AAA,Ray Kerr,678061,L,CU,2024,81,-0.42,81.8,-1.7,5.9,5.8,-0.4,22.4,-34.8,-0.5,-3.2,3.8,-44.6,2024,-1.3,0.1,43.1,33.0
AAA,Ray Kerr,678061,L,FS,2023,35,-7.03,91.6,-2.6,6.1,5.6,-10.9,23.9,-26.4,-11.0,5.8,13.5,-26.2,1489,-0.9,-1.7,43.7,41.5
AAA,Ray Kerr,678061,L,SL,2022,191,-2.9,88.9,-2.0,5.9,5.5,0.9,26.0,-28.8,1.0,3.7,4.1,-31.4,1897,2.7,0.5,48.4,43.7
